id;Año de puesta en operación;Código SIC;Nombre del recurso;Capacidad efectiva neta [mW];Factor de conversión;¿Es menor?;Tipo de despacho;Combustible po defecto;Fecha de operación;Agente representante;Estado del recurso;Tipo de generación;Clasificación;Fecha;Municipio;cod_mpio;Departamento;x;y
375;2022;RUB1;TERMOEBR;19.00;8.49;NO;DC;CRUDO;24/12/2022;PROELECTRICA S.A.S E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;PUERTO GAITÁN;50568;META;5151853.288;2000678.987
376;2017;2SXQ;BIOENERGY;19.90;0.00;NO;ND;BAGAZO;21/4/2017;AES COLOMBIA & CIA. S.C.A. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;PUERTO LÓPEZ;50573;META;5039309.795;2001590.294
377;2024;3J4V;PARQUE SOLAR LA MENA;9.00;0.00;SI;ND;RAD SOLAR;15/2/2024;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAN CARLOS DE GUAROA;50680;META;4969387.497;1983167.8
378;2016;2S6Q;AUTOG YAGUARITO;1.60;0.00;NO;ND;BIOGAS;21/3/2016;ELECTRIFICADORA DEL META S.A. E.S.P.;OPERACIÓN;TERMICA;AUTOGENERADOR;12/2/2026;SAN CARLOS DE GUAROA;50680;META;4969387.497;1983167.8
379;2019;2Y2T;AUTOG CDS TM2500;19.90;0.00;NO;ND;GAS;30/10/2019;ELECTRIFICADORA DEL META S.A. E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR;12/2/2026;VILLAVICENCIO;50001;META;4945311.901;2010146.945
380;2019;2XXX;AUTOG TERMOSURIA;19.90;0.00;NO;ND;GAS;30/10/2019;ELECTRIFICADORA DEL META S.A. E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR;12/2/2026;VILLAVICENCIO;50001;META;4945311.901;2010146.945
381;2022;3DSO;HELIOS I;16.00;0.00;SI;ND;RAD SOLAR;2/3/2022;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;VILLAVICENCIO;50001;META;4945311.901;2010146.945
382;1954;SPY1;RIO SAPUYES;1.65;0.00;SI;ND;AGUA;31/12/1953;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;TÚQUERRES;52838;NARIÑO;4484457.318;1683806.727
383;1995;RMYO;RIO MAYO;19.80;1.70;SI;ND;AGUA;19/7/1995;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;SAN PABLO;52693;NARIÑO;4557659.705;1744291.364
384;1958;RIN1;RIO INGENIO;0.18;0.00;SI;ND;AGUA;31/12/1957;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL;12/2/2026;SANDONÁ;52683;NARIÑO;4503899.998;1700801.831
385;2025;5BPT;GD DELTA II;0.99;0.00;SI;ND;RAD SOLAR;20/9/2025;BIA ENERGY S.A.S. E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;TAMINANGO;52786;NARIÑO;4518626.534;1734411.267
386;2025;4YLK;DELTA I;0.99;0.00;SI;ND;RAD SOLAR;12/7/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;TAMINANGO;52786;NARIÑO;4518626.534;1734411.267
387;2025;4WP2;GD NAOS III;0.96;0.00;SI;ND;RAD SOLAR;1/5/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;TAMINANGO;52786;NARIÑO;4518626.534;1734411.267
388;2025;4T9M;GD NAOS II;0.96;0.00;SI;ND;RAD SOLAR;1/3/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;TAMINANGO;52786;NARIÑO;4518626.534;1734411.267
389;2024;3NLE;GD NAOS I;0.96;0.00;SI;ND;RAD SOLAR;26/8/2024;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;TAMINANGO;52786;NARIÑO;4518626.534;1734411.267
390;2025;4SNT;PCH JULIO BRAVO;2.08;1.31;SI;ND;AGUA;31/1/2025;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL;12/2/2026;PASTO;52001;NARIÑO;4531813.113;1678099.559
391;1942;JBV1;JULIO BRAVO;1.50;0.00;SI;ND;AGUA;31/12/1941;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL;12/2/2026;PASTO;52001;NARIÑO;4531813.113;1678099.559
392;2024;3IQA;SUNNORTE;35.00;0.00;NO;DC;RAD SOLAR;25/11/2024;GENERSOL S.A.S. E.S.P.;OPERACIÓN;SOLAR;NORMAL;12/2/2026;OCAÑA;54498;NORTE DE SANTANDER;4962824.08;2464845.133
393;2025;4YL8;PETALO DEL NORTE DE SANTANDER I;19.90;0.00;SI;ND;RAD SOLAR;30/3/2025;ERCO GENERACION S.A.S. ESP;PRUEBAS;SOLAR;NORMAL;12/2/2026;LA ESPERANZA;54385;NORTE DE SANTANDER;4960159.119;2408331.587
394;2025;5FPM;GD ASTROLUMEN LA GARITA;0.99;0.00;SI;ND;RAD SOLAR;29/9/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;PRUEBAS;SOLAR;GEN. DISTRIBUIDA;12/2/2026;LOS PATIOS;54405;NORTE DE SANTANDER;5051372.896;2408831.959
395;2023;3HLD;LOS GIRASOLES;9.50;0.00;SI;ND;RAD SOLAR;4/8/2023;PARQUE SOLAR LOS GIRASOLES S.A.S ESP;PRUEBAS;SOLAR;NORMAL;12/2/2026;ÁBREGO;54003;NORTE DE SANTANDER;4982538.658;2444185.451
396;1965;TBU3;TIBU 3;5.00;0.00;NO;DC;DIESEL MAR;31/12/1964;CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;TIBÚ;54810;NORTE DE SANTANDER;5022081.272;2520836.961
397;1965;TBU2;TIBU 2;5.00;0.00;NO;DC;DIESEL MAR;31/12/1964;CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;TIBÚ;54810;NORTE DE SANTANDER;5022081.272;2520836.961
398;1965;TBU1;TIBU 1;5.00;0.00;NO;DC;DIESEL MAR;31/12/1964;CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;TIBÚ;54810;NORTE DE SANTANDER;5022081.272;2520836.961
399;2026;5BPX;GD AGUSTIN I;0.99;0.00;SI;ND;RAD SOLAR;23/1/2026;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN JOSÉ DE CÚCUTA;54001;NORTE DE SANTANDER;5056312.818;2454396.009
400;2015;TSJ2;TASAJERO 2;170.00;10.15;NO;DC;CARBON;29/11/2015;TERMOTASAJERO DOS S.A. E.S.P. ;OPERACIÓN;TERMICA;NORMAL;12/2/2026;SAN CAYETANO;54673;NORTE DE SANTANDER;5042993.317;2425193.291
401;2025;5FPK;GD BIOSOLAR;0.50;0.00;SI;ND;RAD SOLAR;29/9/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;PRUEBAS;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN CAYETANO;54673;NORTE DE SANTANDER;5042993.317;2425193.291
402;2025;5FPL;GD SIRIUS;0.99;0.00;SI;ND;RAD SOLAR;30/10/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;PRUEBAS;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN CAYETANO;54673;NORTE DE SANTANDER;5042993.317;2425193.291
403;2022;3GJQ;TERMOTASAJERO DOS SOLAR;4.00;0.00;SI;ND;RAD SOLAR;25/12/2022;TERMOTASAJERO DOS S.A. E.S.P. ;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAN CAYETANO;54673;NORTE DE SANTANDER;5042993.317;2425193.291
404;1985;TSJ1;TASAJERO 1;165.00;9.24;NO;DC;CARBON;19/2/1985;TERMOTASAJERO S.A. E.S.P.;OPERACIÓN;TERMICA;NORMAL;12/2/2026;SAN CAYETANO;54673;NORTE DE SANTANDER;5042993.317;2425193.291
405;2012;SFC1;SAN FRANCISCO (PUTUMAYO);0.47;0.00;SI;ND;AGUA;14/12/2012;SIGMA2 COMERCIALIZADORA  DE ENERGIA ELECTRICA SAS ESP;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;SAN FRANCISCO;86755;PUTUMAYO;4571825.88;1683854.768
406;2019;2XXR;AGPE - ECOPETROL LA HORMIGA;1.00;1.00;NO;ND;GAS;15/9/2019;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;OPERACIÓN;TERMICA;AUTOG PEQ. ESCALA;12/2/2026;VALLE DEL GUAMUEZ;86865;PUTUMAYO;4580286.616;1604571.765
407;2023;3IJF;AUTOG COSTAYACO;2.00;0.09;NO;ND;GAS;3/9/2023;DEPI ENERGY S.A.S. E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR;12/2/2026;VILLAGARZÓN;86885;PUTUMAYO;4583194.523;1658936.188
408;2019;2YB9;AUTOG ECOPETROL ORITO;4.00;0.00;NO;ND;GAS;6/11/2019;GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.;PRUEBAS;TERMICA;AUTOGENERADOR;12/2/2026;ORITO;86320;PUTUMAYO;4561078.775;1632668.72
409;2026;5JRP;GD EDEQ SOLAR MONTENEGRO;0.11;0.00;SI;ND;RAD SOLAR;9/2/2026;EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;MONTENEGRO;63470;QUINDIO;4687387.452;2058270.693
410;2026;5JRO;GD EDEQ SOLAR LA TEBAIDA;0.12;0.00;SI;ND;RAD SOLAR;9/2/2026;EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;LA TEBAIDA;63401;QUINDIO;4687226.739;2047761.746
411;2026;5ISR;GD LA MACANA;0.99;0.00;SI;ND;RAD SOLAR;15/1/2026;SUNO S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;ARMENIA;63001;QUINDIO;4697723.595;2055756.443
412;1935;BSQ1;EL BOSQUE;2.28;0.00;SI;ND;AGUA;31/12/1934;ENERGIA RENOVABLE DE COLOMBIA S.A.S E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ARMENIA;63001;QUINDIO;4697723.595;2055756.443
413;1935;UNN1;UNION;0.70;0.00;SI;ND;AGUA;31/12/1934;EMPRESAS PUBLICAS DE CALARCA ESP;OPERACIÓN;HIDRAULICA;GEN. DISTRIBUIDA;12/2/2026;CALARCÁ;63130;QUINDIO;4705274.936;2052229.174
414;1956;CPT1;CAMPESTRE (CALARCA);0.70;0.00;SI;ND;AGUA;31/12/1955;EMPRESAS PUBLICAS DE CALARCA ESP;OPERACIÓN;HIDRAULICA;GEN. DISTRIBUIDA;12/2/2026;CALARCÁ;63130;QUINDIO;4705274.936;2052229.174
415;1943;BYN1;BAYONA;0.60;0.00;SI;ND;AGUA;31/12/1942;EMPRESAS PUBLICAS DE CALARCA ESP;OPERACIÓN;HIDRAULICA;GEN. DISTRIBUIDA;12/2/2026;CALARCÁ;63130;QUINDIO;4705274.936;2052229.174
416;2016;2SI1;MORRO AZUL;19.90;1.13;SI;ND;AGUA;9/9/2016;RISARALDA ENERGIA S.A.S. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;BELÉN DE UMBRÍA;66088;RISARALDA;4682170.651;2133356.926
417;2003;IRG1;INGENIO RISARALDA 1;19.90;0.00;NO;ND;BAGAZO;14/8/2003;ERCO GENERACION S.A.S. ESP;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;BALBOA;66075;RISARALDA;4673730.99;2102189.544
418;1994;LBR1;NUEVO LIBARE;5.10;0.00;SI;ND;AGUA;31/12/1993;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;DOSQUEBRADAS;66170;RISARALDA;4703968.191;2093619.493
